FBX Name,Source,Width,Height,Depth,Scale,Description
box_large,dungeon,1.5,1.5,1.5,0.6,"Large Box - A large, cube-shaped box with a hollow interior and thick edges."
box_small,dungeon,1,1,1,0.6,Small Box - A small cube-shaped gray box with red interior lining.
box_small_decorated,dungeon,1.489866,1.482832,1.487249,0.6,Decorated Small Box - A small cube box with decorative gears and three honey jars on top.
box_stacked,dungeon,3.475275,3.308905,3.634748,0.6,Stacked Boxes - Two small gray cube boxes stacked atop one another.
bucket_arrows,medieval,0.14,0.2312867,0.1423455,6,Bucket with Arrows - A red and gray bucket containing multiple arrows.
bucket_empty,medieval,0.14,0.1250002,0.14,6,Empty Bucket - An empty red and gray bucket.
bucket_water,medieval,0.14,0.1050002,0.14,6,Bucket with Water - A red and gray bucket filled with blue water.
building_A,city,2,1.65,2,4,Building A - A red and blue building with a door and two windows.
building_A_withoutBase,city,1.20674,1.550069,1.45,4,Building A without Rooftop - The same building as Building A but without its red rooftop.
building_archeryrange_red,medieval,1.670634,1.791735,1.550816,6,Archery Building - A fantasy-styled archery range with a red roof and a target.
building_B,city,2,1.65,2,4,Building B - A brick urban building with a blue roof and detailed windows.
building_B_withoutBase,city,1.60674,1.550069,1.3,4,"Building B without Rooftop - The same urban building as Building B, but missing the roof."
building_barracks_red,medieval,1.440005,1.640053,1.566075,6,Barracks Building - A red-roofed barracks building with multiple chimneys.
building_blacksmith_red,medieval,1.287601,0.9851044,1.24515,6,Blacksmith Building - A red-roofed blacksmith shop with tools and an anvil outside.
building_C,city,2,2.976621,2,4,"Building C - A tall, red and blue urban building with a flat roof."
building_C_withoutBase,city,1.20674,2.250069,1.3,4,Building C - A large red and blue urban building with a flat roof with no base pavement.
building_castle_red,medieval,1.975413,3.979206,2.256254,6,Castle Front Building - A castle-like structure with a red roof and multiple spires.
building_church_red,medieval,1.028993,1.645036,1.155002,6,Church Front Building - A church-like building with a large front window and a red roof.
building_D,city,2,2.97,2.020421,4,Building D - A modern building with green and beige coloring and a flat roof.
building_D_withoutBase,city,1.60674,2.250069,1.3,4,Building D without Rooftop - The same modern building as Building D but without the roof.
building_E,city,2.00674,2.35,2,4,Building E - A tall blue and brown building with a flat roof and an emergency exit stair on the side.
building_E_withoutBase,city,2.00674,2.250069,1.45,4,"Building E without Rooftop - The same building as Building E, without the roof and stair details."
building_F,city,2.00674,2.35,2,4,Building F - A red and brown building with multiple windows and a rooftop door.
building_F_withoutBase,city,2.00674,2.25007,1.3,4,"Building F without Rooftop - The same building as Building F, missing the roof and door details."
building_G,city,2.00674,2.976353,2,4,Building G - A blue and brown building with a large front window and an antenna on top.
building_G_withoutBase,city,2.00674,2.250069,1.45,4,"Building G without Rooftop - The same building as Building G, without the rooftop and antenna."
building_H,city,2.00674,3.05,2,4,Building H - A narrow blue and brown building with several balconies and a flat roof.
building_H_withoutBase,city,2.00674,2.950069,1.3,4,"Building H without Rooftop - The same building as Building H, but with the roof removed."
building_home_A_red,medieval,0.7919598,0.9300002,0.8536516,6,Building Home A - A small red-roofed house with a chimney and front entrance.
building_home_B_red,medieval,0.8749282,1.28,1.098652,6,"Building Home B - A small house with a red roof, different style with an external chimney."
building_lumbermill_red,medieval,1.366967,1.295001,1.329233,6,Lumbermill Building - A red-roofed lumbermill with a waterwheel and logs piled outside.
building_market_red,medieval,1.799381,0.9816395,1.315603,6,Market Building Red - A red-roofed market structure with open stall fronts and awnings.
building_mine_red,medieval,1.605553,1.136635,1.91996,6,"Mine Building Red - A compact, red and dark gray mine entrance with a wheelbarrow."
building_tavern_red,medieval,1.171728,1.39665,1.332318,6,Tavern Building Red - A red and gray tavern building with barrels and a sign.
building_tower_A_red,medieval,0.9932728,2.191735,1.153467,6,Tower A - A tall gray tower with a red conical roof and arrow-slit windows.
building_tower_B_red,medieval,1.197396,2.485365,1.382633,6,Tower B - Similar to Tower A but with a stone texture and fewer windows.
building_tower_base_red,medieval,0.9297925,1.5,1.111126,6,"Tower with Cannon - A gray tower with a red roof, featuring a mounted cannon."
building_tower_catapult_red,medieval,0.9297925,1.617727,1.233331,6,Watermill Building - A large red-roofed building with a watermill attached.
building_watermill_red,medieval,1.05,1.743008,1.235964,6,Windmill Building - A red-roofed windmill building with rotating sails.
building_well_red,medieval,0.6517937,0.8260126,0.7507236,6,Medium Cabinet - A simple brown cabinet with four short legs and a flat top.
building_windmill_red,medieval,1.12577,1.194638,0.7939395,6,"Medium Cabinet with Plant - The same cabinet as Medium Cabinet, with a green potted plant on top."
bush,city,0.1893606,0.3805296,0.1990933,4,"Bush - A small, green, tree-like potted plant in a brown pot"
cabinet_medium,furniture,2,1,1.001559,0.7,Medium Cabinet - A medium sized brown cabinet with a flat top.
cabinet_medium_decorated,furniture,2.041633,1.827033,1.001559,0.7,Medium Cabinet Decorated - A medium sized brown cabinet with a book and a pot on its top.
cabinet_small,furniture,1,1,1.001559,0.7,Small Cabinet - A smaller brown cabinet with a flat top.
cabinet_small_decorated,furniture,1.047671,1.617515,1.103883,0.7,Small Cabinet Decorated - A small brown cabinet with a book and a pot on its top.
cactus_medium_A,furniture,0.8799095,0.8272461,0.8368438,0.7,Medium Cactus A - A potted green cactus with two arms.
cactus_medium_B,furniture,0.8799095,0.8272461,0.8368438,0.7,Medium Cactus B - A similar potted cactus with three arms.
cactus_small_A,furniture,0.5,0.5516007,0.5,0.7,Small Cactus A - A small potted cactus with a single arm.
cactus_small_B,furniture,0.5,0.5516007,0.5,0.7,Small Cactus B - A small potted cactus with two arms and a taller center.
Can_A,prototype,0.3,0.4823188,0.3,0.75,Can A - A blue soda can with a silver top.
Can_B,prototype,0.3,0.4823188,0.3,0.75,Can B - A red soda can with a silver top.
candle,dungeon,0.3343711,0.872982,0.3292912,0.6,Candle - A tall white candle with a black wick.
candle,halloween,0.300934,0.7856838,0.2963621,0.6,"Candle 1 - A tall, white, unlit candle with a black wick."
candle_lit,dungeon,0.3343711,1.051081,0.3292912,0.6,"Candle Lit - The same white candle, now lit with a small flame."
candle_melted,dungeon,0.3343711,0.7015395,0.3292912,0.6,"Candle Melted - A shorter, white candle that appears partially melted down."
candle_melted,halloween,0.300934,0.6313855,0.2963621,0.6,"Candle Melted 1 - Another version of a melted white candle, slightly different shape."
candle_thin,dungeon,0.1931889,0.872982,0.190254,0.6,"Candle Thin - A slimmer, white candle with a tall, thin form."
candle_thin,halloween,0.17387,0.7856838,0.1712286,0.6,"Candle Thin 1 - A similar slimmer, white candle to Candle Thin, possibly a variant."
candle_thin_lit,dungeon,0.1931889,1.051081,0.190254,0.6,Candle Thin Lit - A thin white candle with a lit flame at the top.
candle_triple,dungeon,0.5011786,0.872982,0.3899242,0.6,Candle Triple - A unique candle with three wicks in a single base.
candle_triple,halloween,0.4510608,0.7856838,0.3509318,0.6,"Candle Triple 1 - Another version of a triple-wicked candle, slightly different style."
car_hatchback,city,0.4189609,0.3800217,0.806073,4,Car Sedan - A simple blue sedan with a classic four-door design.
car_police,city,0.4189609,0.4238927,0.938073,4,Car Police - A police car with distinctive markings and a siren on top.
car_sedan,city,0.4189609,0.3800217,0.938073,4,Car Hatchback - A red hatchback car with a compact design.
car_stationwagon,city,0.4189609,0.3800217,0.938073,4,Car Station Wagon - A green station wagon with a longer body and roof racks.
car_taxi,city,0.4189609,0.4457292,0.938073,4,Car Taxi - A yellow taxi cab with distinctive black and checkered striping.
chair,dungeon,0.7500001,1.226506,0.7500135,0.6,"Chair - A basic, wooden chair with a red cushion and backrest."
chair_A,furniture,0.75,1.258326,0.8451285,0.7,Chair A - A chair with a blue seat and back cushion and wooden frame.
chair_A_wood,furniture,0.75,1.258326,0.8451285,0.7,Chair A Wood - A wooden chair similar to Chair A but without the cushions.
chair_B,furniture,0.75,1.258326,0.8451285,0.7,Chair B - A chair with a brown seat and back cushion and wooden frame.
chair_B_wood,furniture,0.75,1.258326,0.8451285,0.7,"Chair B Wood - A wooden chair similar to Chair B, with a slightly different design."
chair_C,furniture,0.75,1.202943,0.9356215,0.7,Chair C - A plain blue chair with a modern design and metal legs.
chair_stool,furniture,0.75,0.5,0.75,0.7,Chair Stool - A simple stool with a blue round seat and four wooden legs.
chair_stool_wood,furniture,0.75,0.5,0.75,0.7,"Chair Stool Wood - A wooden stool, same design as Chair Stool but with a brown seat."
chest,dungeon,1.7,0.9650022,1.910687,0.6,Chest - A brown treasure chest with a curved lid and metal accents.
chest_gold,dungeon,1.7,1.205674,1.910687,0.6,"Chest Gold - A similar treasure chest to the first, but with golden metal accents."
cloud_big,medieval,3.607193,1.945766,2.242156,6,"Cloud Big - A fluffy, large cartoon-style cloud."
cloud_small,medieval,2.337803,1.839653,1.791678,6,Cloud Small - A smaller version of the cartoon-style cloud.
coffin,halloween,2,1.322414,3,0.6,"Coffin - A dark, closed coffin with silver accents."
coffin_decorated,halloween,2,0.9025096,3,0.6,Coffin Decorated - A similar closed coffin with intricate golden decorations and a cross on the lid.
coin,dungeon,0.3600116,0.125006,0.3600117,0.6,Coin - A single gold coin with an embossed design.
Coin_A,prototype,1,1,0.349191,0.75,Coin A - A gold coin with a yellow band around the edge.
Coin_B,prototype,1,1,0.349191,0.75,Coin B - A silver coin with a darker band around the edge.
Coin_C,prototype,1,1,0.349191,0.75,Coin C - A copper coin with a reddish band around the edge.
coin_stack_large,dungeon,1.4365,1.156889,1.658682,0.6,Large Coin Stack - A large stack of gold coins in varying sizes.
coin_stack_medium,dungeon,0.9933727,0.6406729,1.034109,0.6,Medium Coin Stack - A medium-sized stack of gold coins.
coin_stack_small,dungeon,0.9591118,0.4782336,0.8963455,0.6,Small Coin Stack - A small pile of scattered gold coins.
column,dungeon,0.7,1.4,0.7,0.6,Column - A simple stone column with a square base and capital.
couch,furniture,3,1.22406,1.6,0.7,Couch - A comfortable blue couch with cushioned armrests.
couch_pillows,furniture,3,1.22406,1.6,0.7,"Couch with Pillows - A similar couch to the previous, with the addition of two small yellow pillows."
crate_A_big,medieval,0.21,0.21,0.21,6,Big Crate A - A large wooden crate with wide planks and dark metal accents.
crate_A_small,medieval,0.14,0.14,0.14,6,Small Crate A - A smaller version of Crate A.
crate_B_big,medieval,0.21,0.21,0.21,6,Big Crate B - A large wooden crate with narrow planks and light metal accents.
crate_B_small,medieval,0.14,0.14,0.14,6,Small Crate B - A smaller version of Crate B.
crate_long_A,medieval,0.4,0.15,0.2,6,Long Crate A - A long wooden crate filled with various fruits.
crate_long_B,medieval,0.4,0.15,0.2,6,Long Crate B - A long wooden crate filled with various vegetables.
crate_long_C,medieval,0.4,0.1985454,0.2,6,"Long Crate C - A similar long wooden crate to Crate B, but filled with baguettes."
crate_long_empty,medieval,0.4,0.15,0.2,6,"Empty Long Crate - An empty, open long wooden crate."
crate_open,medieval,0.331568,0.2056395,0.2,6,Open Crate - An open wooden crate without a lid.
crates_stacked,dungeon,2.089184,2.142296,2.249401,0.6,Stacked Crates - Several wooden crates stacked on top of each other with bottles and a sack.
crypt,halloween,6,8,8,0.6,Crypt - A stone crypt or mausoleum with a cross on the roof.
Cube_Prototype_Large_A,prototype,4,4,4,0.75,Cube Prototype Blue - A solid blue cube with a glossy finish.
Cube_Prototype_Large_B,prototype,4,4,4,0.75,Cube Prototype Grid - A blue cube with a grid overlay.
Cube_Prototype_Small,prototype,2,2,2,0.75,Cube Prototype Grid - A blue cube with a grid overlay.
Door_A,prototype,1.600001,2.8,0.5460619,0.75,Door A - A plain brown door with a silver handle.
Door_A_Decorated,prototype,1.600001,2.8,0.6268618,0.75,Door A Decorated - A brown door with red panels and a decorative silver handle.
Door_B,prototype,1.600001,2.8,0.5356935,0.75,Door B - A red door with a narrow vertical window and a reinforced frame.
Dummy_Base,prototype,1.542507,1.248292,0.9934468,0.75,Dummy Base - A training dummy figure with a helmet and a round shield.
dumpster,city,0.5659471,0.3172787,0.3527979,4,Dumpster - A green and gray dumpster with a lid slightly ajar.
fence,halloween,4,2.2,0.5000001,0.6,"Fence - A simple, black iron fence."
fence_broken,halloween,4,2.2,0.5000001,0.6,Broken Fence - A black iron fence with a broken and bent bar.
fence_gate,halloween,4,3,0.5000001,0.6,Fence Gate - A portion of a black iron fence with an open gate.
fence_pillar,halloween,0.5,2.2,0.5000001,0.6,Fence Pillar - A single pillar of a black iron fence with a capstone.
fence_pillar_broken,halloween,0.5,1.502974,0.5,0.6,Broken Fence Pillar - A similar pillar to Fence Pillar but broken at the top.
fence_seperate,halloween,4,2,0.1695589,0.6,Fence Separate - A standalone segment of black iron fence.
fence_seperate_broken,halloween,4,2,0.1695589,0.6,Separate Fence Broken - A segment of black iron fence with broken bars.
firehydrant,city,0.1354952,0.2245951,0.1313207,4,Fire Hydrant - A red fire hydrant with two side nozzles and a top cap.
flag_blue,medieval,0.05500915,0.2774706,0.2639779,6,"Blue Flag - A flag on a pole, fluttering to the right, colored blue."
flag_green,medieval,0.05500915,0.2774706,0.2639779,6,"Green Flag - Similar to the blue flag, fluttering in the same direction, colored green."
flag_red,medieval,0.05500915,0.2774706,0.2639779,6,"Red Flag - A red flag on a pole, fluttering to the right."
flag_yellow,medieval,0.05500915,0.2774706,0.2639779,6,"Yellow Flag - A yellow flag on a pole, fluttering to the right."
Floor,prototype,4,0.5000001,4,0.75,"Floor - A simple, flat gray floor tile."
Floor_Dirt,prototype,4,0.5300001,4,0.75,Floor Dirt - A square floor tile with a plain dirt texture.
floor_dirt,halloween,4,0.5300001,4,0.6,"Dirt Grave Floor - A floor tile with a raised dirt mound, suggesting a grave."
floor_dirt_grave,halloween,4,1.53,4,0.6,Large Dirt Floor - A larger square of ground with a dry dirt texture.
floor_dirt_large,dungeon,4,0.2086062,4,0.6,Large Dirt Floor with Rocks - A large dirt floor tile with scattered rocks.
floor_dirt_large_rocky,dungeon,4,0.3927926,4,0.6,Small Dirt Floor with Grass - A small dirt floor segment with a few green grass patches.
floor_dirt_small,halloween,2,0.5300001,2,0.6,Small Dirt Floor - A small square of ground textured with dirt and a few small rocks.
floor_dirt_small_A,dungeon,2,0.1864052,2,0.6,Small Dirt Floor A - Similar to Small Dirt Floor but with a slightly different dirt texture.
floor_dirt_small_B,dungeon,2,0.1886348,2,0.6,"Small Dirt Floor B - Another variant of the small dirt floor, with distinct dirt patches."
floor_dirt_small_C,dungeon,2,0.2086062,2,0.6,Small Dirt Floor C - A further variant with a mixture of dirt textures and rocks.
floor_dirt_small_corner,dungeon,2.000012,0.1537911,2,0.6,"Small Dirt Floor D - Similar to the previous, with an added dirt texture."
floor_dirt_small_D,dungeon,2,0.1384378,2,0.6,"Small Dirt Floor D - Similar to the previous, with an added dirt texture."
floor_dirt_small_weeds,dungeon,2,0.2954758,2,0.6,Floor Dirt 1 - Similar to Floor Dirt but with a more compacted dirt texture.
floor_foundation_allsides,dungeon,2.2,2,2.2,0.6,Foundation 1 - A gray concrete foundation with metal rods protruding.
floor_foundation_corner,dungeon,2.1,2,2.1,0.6,Foundation 2 - Similar to Foundation 1 but with different detailing on the surface.
floor_foundation_diagonal_corner,dungeon,2.1,2,2.1,0.6,Foundation 3 - A concrete foundation with a different pattern and texture from the first two.
floor_foundation_front,dungeon,2,2,2.1,0.6,"Foundation 4 - A concrete foundation block with an array of small, square recesses."
floor_foundation_front_and_back,dungeon,2,2,2.2,0.6,"Foundation 5 - Similar to Foundation 4, but with an assortment of different surface details."
floor_foundation_front_and_sides,dungeon,2.2,2,2.1,0.6,"Foundation 5 - Similar to Foundation 4, but with an assortment of different surface details."
Floor_Prototype,prototype,4,0.5000007,4,0.75,"Floor Prototype - A flat, blue, translucent floor panel."
floor_tile_big_grate,dungeon,4,1.05,4,0.6,"Large Grate Tile - A large floor tile with a gray, grated texture."
floor_tile_big_grate_open,dungeon,4,1.05,4,0.6,"Large Grate Tile Open - A large floor tile with a gray, grated texture."
floor_tile_big_spikes,dungeon,4,2.100001,4,0.6,Big Grate with Spikes - A similar large grate tile featuring upright spikes.
floor_tile_extralarge_grates,dungeon,8,1.13,8,0.6,"Extralarge Grate Floor - A large grate floor tile, likely a variant with a different pattern."
floor_tile_extralarge_grates_open,dungeon,8,1.13,8,0.6,Extralarge Grate Floor - A gray floor tile with a grated design and open sections.
floor_tile_grate,dungeon,4,1.03,2,0.6,Tile Floor with grated design
floor_tile_grate_open,dungeon,4,1.03,2,0.6,Tile Floor with grated design and open design
floor_tile_large,dungeon,4,0.15,4,0.6,Large Tile Floor - A large gray floor tile with a smooth surface.
floor_tile_large_rocks,dungeon,4,0.6361739,4,0.6,"Large Red Floor Tile - A large floor tile with a red, rugged texture."
floor_tile_small,dungeon,2,0.15,2,0.6,Small Tile Floor
floor_tile_small_broken_A,dungeon,2,0.15,2,0.6,Small Tile Floor - A smaller gray floor tile with a rugged texture.
floor_tile_small_broken_B,dungeon,2,0.15,2,0.6,Small Tile Floor Variant B - A variant of the small floor tile with a different texture pattern.
floor_tile_small_corner,dungeon,2,0.15,2,0.6,Small Tile Floor Variant C - Another small floor tile with a unique texture.
floor_tile_small_decorated,dungeon,2,0.7729821,2,0.6,Small Tile Floor Variant D - A small floor tile with a texture that includes small objects.
floor_tile_small_weeds_A,dungeon,2,0.2954758,2,0.6,Small Tile with Grass - A small floor tile with patches of green grass on the corners.
floor_tile_small_weeds_B,dungeon,2,0.2954758,2,0.6,Small Tile Floor with grass patches
floor_wood_large,dungeon,4,0.15,4,0.6,Large Wood Floor Tile - A large floor tile with a wooden plank texture.
floor_wood_large_dark,dungeon,4,0.15,4,0.6,Large Gray Wood Floor Tile - A large floor tile that resembles gray wooden planks.
floor_wood_small,dungeon,2,0.15,2,0.6,Small Wood Floor Tile - A small floor tile with a wooden plank texture.
floor_wood_small_dark,dungeon,2,0.15,2,0.6,Small Wood Floor - A small gray floor tile designed to mimic the look of wooden planks.
grave_A,halloween,2,2.129019,1,0.6,Grave A - A simple gravestone with a circular top
grave_A_destroyed,halloween,2.0774,2.106115,1.135107,0.6,Grave A Destroyed - A damaged and tilted gravestone on a grassy base.
grave_B,halloween,2,2.200001,1,0.6,"Grave B - A simple, upright gravestone with no inscriptions."
gravemarker_A,halloween,0.8059553,1.196102,0.2781825,0.6,"Gravemarker A - A dark, arched gravestone."
gravemarker_B,halloween,0.8028616,1.179493,0.4131666,0.6,Gravemarker B - A cross-shaped gravestone.
gravestone,halloween,1.4,1.6,0.4000001,0.6,Gravestone - A classic gravestone shape with a rounded top.
hill_single_A,medieval,1.109908,0.3072677,0.8093148,6,Single Hill A - A model of a small hill with a flat top and a green texture.
hill_single_B,medieval,0.9949992,0.4187097,1.36046,6,Single Hill B - A model of a small hill with a flat top and a green texture.
hill_single_C,medieval,1.024381,0.5885832,1.324908,6,Single Hill C - A similar small hill model with a slightly different shape and green texture.
hills_A,medieval,1.755344,0.7941573,1.737221,6,Hills A - A set of small hills with a boulders on it.
hills_A_trees,medieval,1.755344,1.332131,1.737221,6,Hills A with Trees - A set of small hills with a few trees on the top.
hills_B,medieval,1.473513,0.3659984,1.623605,6,Hills B - A slightly larger model of green hills with no additional decorations.
hills_B_trees,medieval,1.473513,1.369169,1.623605,6,"Hills B with Trees - A model of hills similar to Hills B, but with a few trees."
hills_C,medieval,1.527329,0.5547021,1.4736,6,"Hills C - Another model of green hills, with a different arrangement."
hills_C_trees,medieval,1.696491,1.295341,1.899211,6,"Hills C with Trees - Similar to Hills C, but with trees added on the top."
keg,dungeon,1.8,2.050724,2,0.6,Keg - A wooden keg with metal bands and a tap.
keg_decorated,dungeon,3.519392,2.050725,2,0.6,"Decorated Keg - A similar wooden keg with metal bands, featuring two green bottles beside it."
key,dungeon,0.8956595,0.402879,0.1418031,0.6,Key - A single key
keyring,dungeon,1.031003,0.2613786,1.209349,0.6,Keyring - A group of simple metal keys on a keyring.
keyring_hanging,dungeon,0.6796609,1.219533,0.383498,0.6,"Keyring Hanging - The same keyring with keys, shown hanging from a hook."
ladder,medieval,0.2532198,0.7699999,0.05074733,6,Ladder - A straight brown wooden ladder with round rungs.
lamp_standing,furniture,1,2.52,1,0.7,Standing Lamp - A tall floor lamp with a gray base and a white lampshade.
lamp_table,furniture,1,1.021665,1,0.7,"Table Lamp - A small white lampshade that tapers towards the top, intended for a table."
lantern_hanging,halloween,0.6400201,1.408576,0.6400201,0.6,"Hanging Lantern - An old-style lantern with a metal frame and glass panels, hanging from a hook."
lantern_standing,halloween,0.6400201,0.9251918,0.6400201,0.6,"Standing Lantern - A similar old-style lantern to the hanging one, but designed to stand."
mountain_A,medieval,1.801018,1.425385,1.876171,6,"Mountain A - A simple, rounded gray mountain model."
mountain_A_grass,medieval,1.801018,1.500969,1.876171,6,"Mountain A with Grass - The same mountain model, now with patches of green grass."
mountain_A_grass_trees,medieval,1.855376,2.176356,1.876171,6,"Mountain A with Trees - Mountain A again, this time with small green trees added."
mountain_B,medieval,1.801018,1.76955,1.876171,6,"Mountain B - A larger, gray mountain model with multiple peaks."
mountain_B_grass,medieval,1.801018,1.836353,1.876171,6,Mountain B with Grass - Mountain B with green grass on its slopes.
mountain_B_grass_trees,medieval,1.801018,2.504627,1.876171,6,Mountain B with Grass - Mountain B with green grass and trees on its slopes.
mountain_C,medieval,1.758618,1.508004,2.022986,6,"Mountain C - Another gray mountain model, more blocky in shape."
mountain_C_grass,medieval,1.758618,1.554156,2.022986,6,Mountain C with Grass - The blocky Mountain C with patches of green grass.
mountain_C_grass_trees,medieval,1.758618,2.112415,2.022986,6,"Mountain C with Trees - Mountain C again, now featuring green trees."
pallet,medieval,0.3,0.08000005,0.3,6,Pallet - A flat wooden pallet for holding goods.
Pallet_Large,prototype,4,0.5000001,4,0.75,Large Pallet - A larger version of the flat wooden pallet.
Pallet_Small,prototype,2,0.5000001,2,0.75,"Small Pallet - A smaller, more compact wooden pallet."
Pallet_Small_Decorated_A,prototype,2,1.5,2,0.75,Small Decorated Pallet - The small pallet stacked with blue water barrels.
Pallet_Small_Decorated_B,prototype,2,3,2,0.75,Large Decorated Pallet - A larger pallet also stacked with blue water barrels.
path_A,halloween,1.903187,0.1000021,1.883756,0.6,Path A - A winding gray stone path or stepping stones.
path_B,halloween,1.88607,0.1000001,1.855668,0.6,Path B - A series of irregular gray stepping stones.
path_C,halloween,1.85001,0.1000001,1.856617,0.6,"Path C - A similar path to Path B, with fewer and smaller stones."
path_D,halloween,1.655618,0.1000001,1.706572,0.6,"Path D - A cluster of small, round stepping stones."
pictureframe_large_A,furniture,1.01,1.2,0.2000001,0.7,"Large Picture Frame A - A large, thin, brown picture frame leaning against the wall."
pictureframe_large_B,furniture,2,1.2,0.2000001,0.7,"Large Picture Frame - A large, thin, brown picture frame leaning against the wall."
pictureframe_medium,furniture,0.7000001,0.9000001,0.2000001,0.7,Medium Picture Frame - A medium-sized version of the large picture frame.
pictureframe_small_A,furniture,0.5000001,0.6000001,0.2000001,0.7,Small Picture Frame A - A small brown picture frame in portrait orientation.
